Name	Length	EValue	BitScore	
sorbi-c5wu07	333	21	22.3
9zzzz-c3v8m6	339	21	22.3
vibhb-a7mwp9	275	21	22.3
gibze-q4huj7	338	21	22.3
synjb-q2jpe5	301	21	22.3
varps-c5cu02	307	21	22.3
rhoob-c1avt9	282	21	22.3
9chlb-q0yrb1	277	21	22.3
nocfa-q5ytw9	268	21	22.3
phezh-b4rh78	301	22	22.3
psepf-q3kbr1	281	22	22.3
shefn-q083f2	282	23	21.9
rhoob-c1axh1	275	23	21.9
soltu-1epoxy	321	23	22.3
9gamm-d0c3t3	280	23	21.9
chlte-CT1908	256	23	21.9
nech7-c7zes2	331	23	22.3
nocfa-q5ytr2	325	23	21.9
azovd-c1dg75	302	23	21.9
burpp-b2tc97	272	23	21.9
nech7-c7z8q7	267	23	21.9
medtr-q1sfz2	319	24	21.9
gibze-q4hv12	326	24	21.9
soltu-4epoxy	321	24	21.9
soltu-2epoxy	305	24	21.9
strpr-b5h5w4	334	24	21.9
aspor-q2u489	398	25	21.9
sphal-q1gx21	350	25	21.9
geoog-d2sh37	279	25	21.9
9gamm-q2bxc9	269	25	21.9
9delt-a0w9w8	280	25	21.9
psefs-c3k5q5	304	25	21.9
phoas-q1zvy9	269	26	21.9
ricco-b9sat9	316	26	21.9
9cyan-b4w2t7	321	26	21.9
9gamm-b8kn50	282	26	21.9
strav-SAV4252	308	26	21.9
burm1-a9anj1	300	26	21.9
mycpa-q73vx6	313	26	21.9
mycs2-a0r5g5	316	26	21.9
aciac-a1tku2	308	26	21.9
braso-a4ylr9	356	26	21.9
mycua-a0pva4	321	26	21.9
rhopb-q218g9	331	27	21.9
9acto-d1xm21	353	27	21.9
caeel-K02F3.6	404	28	21.9
catad-c7q3r3	299	28	21.9
9caul-b4wel7	323	28	21.9
metrj-b1lwc8	291	28	21.9
mycsj-a3q736	317	29	21.9
orysa-Q8W3F6	323	29	21.9
deira-DR0791	305	29	21.9
nakmy-c8xas4	322	30	21.9
9acto-d0wk53	304	30	21.6
salto-a4xac3	309	30	21.6
acijo-d0sdk1	294	31	21.6
9plan-a4a1w1	267	32	21.6
mycgi-a4t8e9	291	32	21.6
strna-NANE	290	33	21.6
9acto-d1xnd7	328	33	21.6
sorbi-c5ynp8	322	33	21.6
pencw-b6hhg8	381	34	21.6
maize-c0pi43	317	34	21.6
rhofd-q21tk5	306	34	21.6
thecd-d1abb9	287	34	21.6
9acto-c4rns5	287	34	21.6
sacvd-c7mqn5	313	34	21.6
cuppj-q472r0	274	35	21.6
maize-b4ff27	369	35	21.6
stanl-d3q8y3	307	35	21.6
9chlb-q0yt91	276	35	21.6
talsn-b8lvk9	364	35	21.6
myca9-b1mkz7	305	36	21.6
9sphn-a3we00	295	36	21.6
braja-BLR2982	321	36	21.6
myctu-ephd	304	36	21.6
silpo-q5lu02	299	37	21.6
pelpb-b4sgm0	276	37	21.6
cupnh-q0k9j6	317	38	21.6
geomg-q39z16	266	38	21.6
copc7-a8n3e1	325	38	21.6
strsw-c9z3z0	281	38	21.6
mycvp-a1tg99	319	38	21.6
vibf1-q5e436	265	38	21.6
rhop5-q07rw8	260	39	21.2
macfa-q4r584	440	39	21.6
cocp7-c5pdn8	338	39	21.6
sacen-a4fix9	285	40	21.2
sorbi-c5y7x0	323	40	21.6
burxl-q13ri3	305	41	21.2
lepin-LA2526	296	41	21.2
9vibr-a7k607	275	41	21.2
mycua-a0ptq0	300	41	21.2
copc7-a8n3e0	324	42	21.2
shewm-b1kds1	281	42	21.2
rhoob-c1ar68	275	42	21.2
provi-a4se62	281	42	21.2
sphww-a5v737	308	42	21.2
9rhob-a6fr98	265	42	21.2
gibze-q4ial5	304	43	21.2
vibal-q1v6q1	271	43	21.2
culqu-b0xj28	342	43	21.2
brasb-a5efp3	334	44	21.2
9bact-a4gk46	327	44	21.2
acilw-d0sst9	289	44	21.2
conwi-d3f2h9	330	45	21.2
burp8-b2js42	272	45	21.2
myxxd-q1d796	265	45	21.2
nech7-c7zmn4	307	46	21.2
9chlb-q0yrv2	264	47	21.2
9gamm-a0xwz8	265	48	21.2
nocfa-q5z3z4	329	49	21.2
9sphn-q2nch7	303	49	21.2
nocsj-a1snh2	278	49	21.2
bovin-abhd8	432	49	21.2
rhocs-b6isc9	321	49	21.2
burma-q62ib8	298	49	21.2
alcbs-q0vl04	300	50	21.2
schpo-C22H12.03	270	50	21.2
rhoer-c3ji24	281	50	21.2
borpd-a9iu09	295	50	21.2
cyth3-q11sp6	277	51	21.2
psyck-q1qc88	266	51	21.2
9acto-c0w573	304	51	21.2
catad-c7q8u5	305	51	21.2
cyap7-b7ki60	290	53	20.8
ricco-b9s689	319	53	21.2
roscs-a7ngf7	257	53	20.8
human-ABHD8	439	53	21.2
9acto-b5gfw3	302	53	20.8
9gamm-a5l588	271	54	20.8
pospm-b8ph43	328	54	20.8
artoc-c5fmh2	347	54	20.8
poptr-b9hyk8	309	55	20.8
burta-q2sw23	345	55	20.8
9acto-b4v9q5	313	56	20.8
micsr-c1e4q6	297	57	20.8
9gamm-a0y8h0	315	57	20.8
phypa-a9rhz9	329	57	20.8
beuc1-c5bxx8	298	58	20.8
psytt-k4iv88	269	59	20.8
mycpa-q73yk0	305	59	20.8
geour-a5gdp3	305	59	20.8
psee4-q1ibu9	277	59	20.8
rhoob-c1b7t4	327	60	20.8
rhosr-q0s1l0	345	60	20.8
9sphn-a5pbq2	316	60	20.8
geoog-d2sby2	276	60	20.8
yarli-q6c598	352	61	20.8
9acto-b5i2q2	343	61	20.8
acam1-b0c301	290	62	20.8
lepbj-q04vj3	295	62	20.8
tetng-q4su72	488	64	20.8
mycle-MLCB22.16c	309	64	20.8
chlte-CT1253	277	65	20.8
soybn-c6tgj4	314	66	20.8
9acto-a7bae2	301	66	20.8
strrd-d2b2m3	307	67	20.8
tetng-q4ser6	298	68	20.8
tetng-q4sbp0	441	68	20.8
psepu-PP3645	292	70	20.4
mouse-Abhd8	439	70	20.8
nicta-epoxy	311	70	20.4
lacbs-b0cxm7	323	71	20.4
geobb-b5e905	305	71	20.4
podan-b2ava6	388	72	20.8
uncma-q0w2n6	289	73	20.4
9rhiz-a9dhg6	297	74	20.4
psea6-q15sc1	305	74	20.4
9gamm-a0yhi4	343	75	20.4
medtr-q1sql8	304	75	20.4
cuptr-b3r2j1	319	76	20.4
mycpa-q743z5	327	76	20.4
orysi-b8bhp9	319	77	20.4
chlch-q3aq45	262	77	20.4
stiau-q08wc7	331	77	20.4
acib5-b7iaz7	281	77	20.4
rhosr-q0sfz6	273	78	20.4
psepf-q3kdm7	354	79	20.4
sphal-q1gvf1	307	79	20.4
aspor-q2ucy7	329	80	20.4
strav-SAV519	291	80	20.4
rhiec-q2k8z8	261	80	20.4
psemy-a4xz24	316	82	20.4
9gamm-b4x1j0	300	83	20.4
9chlr-a0h1x0	355	83	20.4
pseae-PA3324	308	84	20.4
9rhob-a0p3m3	274	85	20.4
aspnc-a2qk14	336	85	20.4
psepf-q3ke08	347	85	20.4
rhopa-q6n9i1	260	86	20.4
arath-C7A10.750	317	86	20.4
pseae-PA3994	296	88	20.4
azovd-c1djq5	296	90	20.4
xenla-q6ax59	424	91	20.4
salsa-b5x1e8	256	92	20.0
asptn-q0ci99	398	92	20.4
rhils-c6b9d4	304	92	20.4
mycvp-a1tc75	344	92	20.4
halma-q5uxk7	313	94	20.0
salto-a4x3t6	275	95	20.0
9sphn-q2n9t8	295	95	20.0
burcc-b1kb7	274	97	20.0
chlau-q3dzh7	355	97	20.0
theeb-TLL0918	295	97	20.0
9acto-b4v119	326	97	20.0
maize-b4fwq7	315	97	20.0
rhosr-q0sgv4	283	100	20.0
orysa-Q8H025	328	100	20.0
burcj-b4e8w4	296	102	20.0
metrj-b1lxr2	293	104	20.0
rhoer-c3jl72	318	105	20.0
mycs2-a0qwe5	287	106	20.0
geour-a5gcc1	266	108	20.0
lynsp-a0yra6	292	109	20.0
provi-a4sd13	259	109	20.0
9acto-b5g9i5	312	111	20.0
thecd-d1a1x8	315	111	20.0
thecd-d1a847	308	114	20.0
pelld-q3b658	259	114	20.0
9gamm-a4a9u6	297	114	20.0
proae-q3vwx6	261	114	20.0
phezh-b4rfb7	319	114	20.0
xanax-PCAD	281	115	20.0
sacen-a4fk07	272	116	20.0
strco-SCH17.08C	354	118	20.0
acisj-a1w3x7	309	121	20.0
gibze-q4im42	310	122	20.0
sorbi-c5y545	316	122	20.0
gibze-q4icl8	311	123	19.6
phano-q0u622	336	124	20.0
9sphn-q2n5g6	295	124	19.6
uncpr-65D09.60	262	124	19.6
strav-SAV3854	307	126	19.6
cupnh-q0k7y4	273	127	19.6
9actn-a4ag85	306	129	19.6
9sphi-a1zr89	268	132	19.6
causk-b0t1h3	328	132	19.6
9sphn-a5pbm3	300	132	19.6
rensm-a9wr45	263	134	19.6
9acto-q75s53	313	134	19.6
pelld-q3b3l5	281	135	19.6
spild-d2qjz0	283	136	19.6
mago7-a4qz14	300	136	19.6
proa2-b4s8l4	301	137	19.6
serp5-a8gaf4	298	138	19.6
rhile-Q9L3R2	261	138	19.6
rhil3-q1mh67	261	138	19.6
mycua-a0pkn2	308	139	19.6
strpu-b2mwn3	327	141	19.6
rhop2-q2it06	260	142	19.6
geosf-b9m4f8	306	142	19.6
botfb-a6siw9	335	143	19.6
arath-At2g26750	320	143	19.6
sphww-a5vbi9	321	144	19.6
mycmm-b2ht20	301	144	19.6
chlli-q44nk9	263	145	19.6
pseae-PA0829	313	145	19.6
kocrd-b2gjc9	284	145	19.6
9rhob-a3tyw4	290	146	19.6
cyap4-b8hrv1	284	147	19.6
9rhiz-c8spm0	271	149	19.6
9rhob-b6b1k3	290	154	19.6
xanca-PCAD	271	155	19.6
strgg-b1vp88	300	156	19.6
9acto-d1xkq2	328	157	19.6
davta-b8k1w4	274	160	19.2
agrrk-b9jfu6	293	161	19.2
catad-c7q209	291	162	19.2
anade-q2inb6	307	162	19.2
sanks-d1bkh6	308	168	19.2
myctu-ephA	322	174	19.2
psyck-q1qcr9	270	175	19.2
caucr-CC1229	330	176	19.2
rubxd-q1azr4	265	177	19.2
caebr-a8x8q5	355	181	19.2
varps-c5czw9	356	184	19.2
9rhob-a3vjf9	320	186	19.2
strsw-c9zc13	300	188	19.2
emeni-q5awn8	381	193	19.2
catad-c7q1d2	283	196	19.2
9acto-d1xls5	335	198	19.2
podan-b2apa8	333	199	19.2
orysa-Q8W3F2	320	200	19.2
psef5-q4k906	270	204	19.2
chlli-q44n22	287	205	19.2
shelp-a3qe28	277	213	18.9
brana-SEH1	318	214	19.2
serod-d1rvn8	281	219	18.9
polsj-q12ch4	268	225	18.9
gibze-q4hv46	274	226	18.9
chlpb-b3eqk3	272	229	18.9
ralme-q1lnk9	320	232	18.9
vera1-c9svi2	343	232	18.9
desvh-q72ed6	270	237	18.9
delas-a9bxf4	303	242	18.9
phezh-b4r801	321	244	18.9
9gamm-b5jw83	304	244	18.9
vibvu-VV12133	264	245	18.9
aerhh-a0klc3	260	246	18.9
tetng-q4ryb0	278	258	18.9
phezh-b4rb44	289	264	18.9
psepf-q3k978	270	266	18.9
strav-SAV1746	347	267	18.9
strgg-b1vn62	348	267	18.9
mycpa-q73ut4	309	267	18.9
myxxd-q1d0l8	296	272	18.9
strpr-b5ha71	315	275	18.9
ricco-b9rz61	311	279	18.9
braso-a4ylm4	308	281	18.9
hypna-q0byl3	327	289	18.5
strco-SCH5.29	324	294	18.5
rhopa-q6n3g3	300	303	18.5
talsn-b8mcz0	431	304	18.5
strgg-b1vm48	352	307	18.5
burch-a0b227	297	313	18.5
artat-a1rbd0	263	315	18.5
9gamm-c8pxg9	290	318	18.5
aciac-a1tlq5	285	322	18.5
arath-F5I6.3	647	326	18.5
solue-q02cw4	285	328	18.5
9syne-b4wtt0	302	337	18.5
zymmo-q5nrh7	268	339	18.5
arath-At2g26740	321	346	18.5
frasc-q2j6g5	361	351	18.5
strav-SAV4596	316	354	18.5
9chlr-a0h1x1	262	356	18.5
tetng-q4t7r6	419	364	18.5
sacen-a4ffk3	300	364	18.5
9rhob-a4ehe1	267	377	18.1
mets4-b0u9m9	289	378	18.1
geosl-q74eb1	302	381	18.1
strav-SAV2105	328	382	18.1
myctu-ephB	356	386	18.1
frasc-q2j800	316	390	18.1
9rhiz-c8sjb8	276	392	18.1
mycpa-q73w28	343	401	18.1
janma-a6t3c4	341	404	18.1
parba-c1h5z5	344	408	18.1
burch-a0kbk8	271	408	18.1
9rhob-b6ra62	274	416	18.1
ralso-b5sl67	275	417	18.1
9rhob-a3x896	291	417	18.1
braso-a4yul4	302	423	18.1
xentr-q6dj15	295	436	18.1
9chlb-q4aly2	280	437	18.1
ajecg-c0nqc6	376	439	18.1
sphww-a5ve39	271	450	18.1
penmq-b6qdz2	416	455	18.1
sphal-q1gsa9	290	458	18.1
rensm-a9wlt1	324	466	18.1
proae-q3vvh2	276	480	18.1
orysa-Q8H5Y0	336	480	18.1
sanks-d1bfs7	297	489	18.1
chlpd-a1bip1	264	497	17.7
burs3-q397r2	281	520	17.7
xenla-q6dch2	295	524	17.7
gorb4-d0lbg4	291	527	17.7
9gamm-b8kma2	280	534	17.7
ostta-q01fz0	313	552	17.7
9maxi-c1c2b5	408	564	17.7
arath-F9L1.44	648	590	17.7
arts2-a0jr53	268	594	17.7
frasn-A8L2L5	304	605	17.7
orysa-Q5VQE5	629	609	17.7
haltv-d2ry22	283	615	17.7
strsw-c9z3u6	320	620	17.7
9syne-b4wu31	285	621	17.7
jondd-c7r044	310	622	17.7
caeel-K07C5.5	355	633	17.7
aspor-q2ub32	328	638	17.7
aciac-a1trh7	269	660	17.3
naegr-d2vts5	322	671	17.3
strco-SCD10.27	352	672	17.3
mycss-q1ber7	284	683	17.3
strci-MONCII	299	706	17.3
myca9-b1mhv4	281	738	17.3
kinrd-a6w519	305	746	17.3
picst-a3geu9	321	757	17.3
9gamm-a3y712	266	765	17.3
9gamm-a0yab3	299	770	17.3
9burk-a6gqm2	301	771	17.3
nitoc-q3jce6	300	784	17.3
strav-SAV1973	273	795	17.3
9acto-b5hvi9	313	802	17.3
psywf-a5wdj1	276	824	17.3
pencw-b6hjj1	353	842	17.3
artca-b8h7v1	267	857	16.9
ross1-a5uvf2	273	867	16.9
burvg-a4jt61	274	875	16.9
9delt-a6g414	358	904	16.9
acira-d0t878	281	910	16.9
scls1-a7edz1	352	926	16.9
meslo-mll5179	271	937	16.9
vitvi-a5afa4	332	945	16.9
mycss-q1ba04	340	964	16.9
rhime-R03193	269	978	16.9
agrtu-ATU5190	257	980	16.9
9burk-a2w6g2	267	1039	16.9
marmm-q0ap22	296	1053	16.9
sacvd-c7n0e5	300	1055	16.9
mycmr-q5sdq4	352	1092	16.9
myca9-b1mfx1	320	1110	16.9
strav-SAV569	252	1115	16.5
aedae-q176i8	339	1127	16.9
9acto-d3m830	291	1146	16.5
arath-F14G24.2	614	1169	16.9
arath-T7M13.8	391	1203	16.5
rhort-q2rr06	305	1204	16.5
burcm-q0b2c5	274	1209	16.5
krifd-d2plp7	287	1238	16.5
stiau-q097y6	241	1297	16.5
9burk-a2wia8	274	1297	16.5
mycvp-a1tc79	351	1310	16.5
orysa-Q9AS70	336	1316	16.5
burs3-q39m65	274	1320	16.5
burs3-q39bt4	271	1353	16.5
verei-a1wpd6	279	1370	16.5
9chlb-q4akq6	261	1394	16.5
stanl-d3q4i6	296	1454	16.5
vitvi-a7q3d1	492	1507	16.5
mycvp-a1tb20	300	1534	16.2
gibze-q4iie2	309	1580	16.2
sacen-a4flt0	285	1593	16.2
marhy-q36u59	325	1602	16.2
silpo-q5ltb5	297	1615	16.2
desac-q1jyn8	265	1621	16.2
myctu-YR15	341	1652	16.2
mycpa-q73wj3	284	1707	16.2
orysa-Q8W3F1	311	1755	16.2
chlau-q3dzh6	258	1794	16.2
strco-SC4B10.1	260	1995	15.8
sphww-a5vbj1	351	2005	16.2
9deio-q4h730	246	2069	15.8
vibch-VC1725	272	2095	15.8
9caul-q0m0b5	334	2121	15.8
caucr-CC0355	296	2189	15.8
shepa-a8h422	284	2218	15.8
strcl-b5gxz9	310	2358	15.8
acic1-a0lsn3	254	2432	15.8
miclc-c5cbg0	278	2523	15.8
erwct-q6d041	279	2524	15.8
metno-b8iba2	287	2621	15.4
9sphn-a3wbl9	298	2772	15.4
halma-q5uym5	280	2779	15.4
soybn-c6thu0	311	2832	15.4
kinra-q417a2	270	2918	15.4
bursp-Q93CN6	276	3029	15.4
shepc-a4y7b3	280	3141	15.4
mycgi-a4tcp5	340	3196	15.4
mycvp-a1t7v8	340	3280	15.4
krifd-d2pur6	314	3287	15.4
phach-b0fsq0	334	3333	15.4
strvo-q27w67	288	3437	15.4
marhy-q36j73	300	3635	15.0
anadf-a7hhe1	264	3719	15.0
rhort-q2rqu1	264	3851	15.0
ralme-q1lha4	333	4142	15.0
sheon-SO2473	277	4260	15.0
naegr-d2ve51	229	4482	14.6
mycua-a0pt71	341	4645	14.6
aquae-aq327	256	5450	14.6
pse14-q48im0	282	6660	14.2
mycgi-a4tbk3	303	6695	14.2
chlau-q3e5g7	283	7462	14.2
strco-SCF51A.05	278	7921	14.2
9alte-a3j807	299	8102	13.9
kinra-q417d8	286	8291	13.9
pseu2-q4zts5	282	9777	13.9
phyit-d0nhj8	262	10431	13.9
sheb8-a6wnv5	276	10560	13.5
sacen-a4f8u9	271	13587	13.5
aerpe-APE2361	246	17407	13.1
sphww-a5v693	262	26109	12.3
9prot-q5uf69	306	32092	12.3
phopr-q1yyx0	273	36753	11.9
